170 days, 19:31:15.650000;33;667.341127992;2064.88057971;2056.99965358;2067.81998277;2032;-1.73497817096;
170 days, 19:31:37.950000;33;668.263584375;2064.88713622;2056.99011683;2067.86185503;2033;-1.58777573529;
170 days, 19:31:56.950000;33;669.686570764;2064.85509872;2057.00814724;2067.82758236;2034;-1.44057329963;
170 days, 19:32:15.850000;33;669.00908947;2064.84928727;2057.00516701;2067.83339381;2034;-1.21976964614;
170 days, 19:32:34.700000;33;657.439604402;2064.85629082;2056.99488521;2067.8243041;2034;-0.998965992647;
170 days, 19:32:53.550000;33;576.711595058;2064.82768059;2056.96150661;2067.76618958;2035;-0.851763556985;
170 days, 19:33:12.450000;33;666.382983327;2064.80696797;2056.95688725;2067.77229905;2036;-0.630959903493;
170 days, 19:33:31.300000;33;666.714757681;2064.79921937;2056.940943;2067.77870655;2036;-0.41015625;
170 days, 19:33:50.200000;33;666.682645679;2064.77835774;2056.93587661;2067.73921847;2037;-0.262953814338;
170 days, 19:34:09.050000;33;668.658092618;2064.7713542;2056.92052841;2067.73608923;2038;-0.0421501608456;
170 days, 19:34:28;33;664.681941271;2064.73469734;2056.89176917;2067.70405173;2038;0.178653492647;
170 days, 19:34:46.900000;33;577.460378408;2064.69774246;2056.85839057;2067.66366959;2039;0.473058363971;
170 days, 19:35:05.750000;33;662.99058497;2064.6931231;2056.86077476;2067.65845418;2040;0.693862017463;
170 days, 19:35:24.650000;33;660.213977098;2064.66525793;2056.83246255;2067.62984395;2041;0.841064453125;
170 days, 19:35:43.550000;33;664.912685752;2064.65452909;2056.79997802;2067.61077046;2041;1.06186810662;
170 days, 19:36:02.450000;33;665.08218646;2064.61578608;2056.78701401;2067.59110093;2042;1.28267176011;
170 days, 19:36:21.350000;33;665.09604454;2064.59358335;2056.76779151;2067.54490733;2043;1.5034754136;
170 days, 19:36:40.300000;33;571.296587586;2064.56884742;2056.76361918;2067.49528646;2044;1.7242790671;
170 days, 19:37:28.225000;33;586.389601231;2064.55364823;2056.71742558;2067.49081612;2045;1.94508272059;
170 days, 19:37:47.125000;33;621.047094464;2064.52831626;2056.68702722;2067.45713949;2046;2.16588637408;
170 days, 19:38:06.875000;33;659.21343863;2064.48942423;2056.67585135;2067.44730473;2046;2.38669002757;
170 days, 19:38:25.825000;33;647.227913141;2064.47318196;2056.65335059;2067.43642688;2047;2.90189855239;
170 days, 19:38:44.775000;33;650.154054165;2064.44814801;2056.70952797;2067.30037928;2048;3.12270220588;
170 days, 19:39:03.725000;33;581.844523549;2064.35829401;2056.54799938;2067.30663776;2050;3.26990464154;
170 days, 19:39:22.675000;33;589.822158217;2064.34592605;2056.5110445;2067.28041172;2050;3.41710707721;
170 days, 19:39:41.775000;33;654.1762501;2064.32938576;2056.49718642;2067.27802753;2051;3.6379107307;
170 days, 19:40:00.725000;33;659.569874406;2064.31686878;2056.48213625;2067.25627184;2052;3.71151194853;
170 days, 19:40:19.725000;33;653.512254357;2064.28006291;2056.46976829;2067.24926829;2053;4.00591681985;
170 days, 19:40:38.725000;33;607.613474131;2064.26009536;2056.45903945;2067.20992923;2054;4.22672047335;
170 days, 19:40:57.675000;33;593.401938677;2064.22612071;2056.41761422;2067.16701388;2055;4.30032169118;
170 days, 19:41:16.675000;33;623.757988214;2064.20555711;2056.38095737;2067.15524197;2056;4.44752412684;
170 days, 19:41:35.825000;33;651.68261528;2064.1566813;2056.37201667;2067.12841988;2057;4.5947265625;
170 days, 19:41:54.775000;33;656.401067972;2064.1733706;2056.3569665;2067.10353494;2058;4.74192899816;
170 days, 19:42:13.775000;33;644.495710731;2064.14401531;2056.33565784;2067.09355116;2059;4.88913143382;
170 days, 19:42:32.775000;33;586.265027523;2064.1040802;2056.30347133;2067.07060337;2059;5.18353630515;
170 days, 19:42:51.725000;33;649.674087763;2064.07859921;2056.27143383;2067.01725721;2060;5.25713752298;
170 days, 19:43:10.775000;33;635.391995311;2064.06936049;2056.27605319;2067.01084971;2061;5.33073874081;
170 days, 19:43:29.775000;33;649.512335658;2064.05431032;2056.24565482;2066.98611379;2062;5.47794117647;
170 days, 19:43:48.825000;33;653.073191643;2064.02570009;2056.22076988;2066.95854664;2063;5.5515423943;
170 days, 19:44:07.875000;33;639.743134379;2064.01571631;2056.209445;2066.94498658;2064;5.69874482996;
170 days, 19:44:26.925000;33;585.047453642;2063.98978829;2056.17308617;2066.94215536;2065;5.91954848346;
170 days, 19:44:45.975000;33;651.283115149;2063.95611167;2056.12182617;2066.86735153;2066;6.14035213695;
170 days, 19:45:05.025000;33;650.751665235;2063.92005086;2056.12048507;2066.87569618;2066;6.21395335478;
170 days, 19:45:24.075000;33;651.12143755;2063.91826272;2056.09381199;2066.84947014;2067;6.36115579044;
170 days, 19:45:43.125000;33;652.355924249;2063.89263272;2056.08829856;2066.83322787;2068;6.43475700827;
170 days, 19:46:02.225000;33;652.598962188;2063.84837627;2056.08472228;2066.81787968;2069;6.5083582261;
170 days, 19:46:21.325000;33;622.084438801;2063.85701895;2056.05149269;2066.81489944;2070;6.7291618796;
170 days, 19:46:40.425000;33;647.905617952;2063.84807825;2056.0413599;2066.76736474;2071;6.94996553309;
170 days, 19:46:59.525000;33;650.96065402;2063.81678581;2056.0105145;2066.74516201;2072;7.02356675092;
170 days, 19:47:28.675000;33;650.894865394;2063.77506256;2055.97236753;2066.73145294;2073;7.24437040441;
170 days, 19:47:49.525000;33;650.185272098;2063.74287605;2055.94807863;2066.68108702;2074;7.39157284007;
170 days, 19:48:09.375000;33;650.758743286;2063.70711327;2055.91440201;2066.66365266;2075;7.53877527574;
170 days, 19:48:28.325000;33;587.358102202;2063.71113658;2055.89234829;2066.6462183;2076;7.61237649357;
170 days, 19:48:47.325000;33;600.311234593;2063.67298961;2055.88176847;2066.58676267;2077;7.75957892923;
170 days, 19:49:06.325000;33;649.228543043;2063.66464496;2055.85613847;2066.58288836;2077;7.90678136489;
170 days, 19:49:25.325000;33;649.125650525;2063.64527345;2055.85226417;2066.59272313;2078;8.05398380055;
