timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
818806.525;-2.01739130435;-3.47826086957;1.11304347826;1.90357142857;3610.32226562;3593.79614258;3606.50854492;3588.71118164;3598.88110352;False;0;0;-13.5893884777;-13.5893884777;-13.5893884777;-14.5303097822;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818811.375;-2.08695652174;-3.47826086957;1.11304347826;1.73571428571;3610.32226562;3592.52490234;3605.23730469;3587.43994141;3598.88110352;False;0;0;-13.5893884777;-13.5893884777;-13.5893884777;-14.5303097822;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818816.175;-2.08695652174;-3.40869565217;1.11304347826;1.48571428571;3610.32226562;3592.52490234;3605.23730469;3587.43994141;3598.88110352;False;0;0;-13.5893884777;-13.5893884777;-13.5893884777;-14.5303097822;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818821.275;-2.01739130435;-3.47826086957;1.04347826087;1.22857142857;3610.32226562;3592.52490234;3605.23730469;3587.43994141;3598.88110352;False;0;0;-13.5893884777;-13.5893884777;-13.5893884777;-14.5303097822;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818826.675;-2.08695652174;-3.40869565217;0.973913043478;1.10357142857;3610.32226562;3592.52490234;3605.23730469;3587.43994141;3598.88110352;False;0;0;-14.5303097822;-13.5893884777;-13.5893884777;-14.5303097822;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818831.525;-2.08695652174;-3.47826086957;1.04347826087;1.21428571429;3610.32226562;3592.52490234;3605.23730469;3587.43994141;3598.88110352;False;0;0;-14.5303097822;-13.5893884777;-13.5893884777;-14.5303097822;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818836.375;-2.01739130435;-3.47826086957;1.04347826087;1.10357142857;3610.32226562;3592.52490234;3605.23730469;3587.43994141;3598.88110352;False;0;0;-14.5303097822;-13.5893884777;-13.5893884777;-14.5303097822;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818842.375;-2.01739130435;-3.40869565217;1.04347826087;1.07142857143;3610.32226562;3593.79614258;3605.23730469;3587.43994141;3598.88110352;False;0;0;-14.5303097822;-13.5893884777;-14.5303097822;-15.4676669908;-12.52359375;0;0;0;0;0;0;0;0;0;0;0;0
818847.175;-2.01739130435;-3.40869565217;1.04347826087;1.08928571429;3610.32226562;3592.52490234;3605.23730469;3587.43994141;3598.88110352;False;0;0;-14.5303097822;-13.5893884777;-14.5303097822;-14.5303097822;-12.715;0;0;0;0;0;0;0;0;0;0;0;0
818852.025;-2.01739130435;-3.40869565217;1.04347826087;1.075;3610.32226562;3593.79614258;3605.23730469;3587.43994141;3598.88110352;False;0;0;-14.5303097822;-13.5893884777;-14.5303097822;-15.4676669908;-12.715;0;0;0;0;0;0;0;0;0;0;0;0
