timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
9639235.3;-2.85217391304;-3.54782608696;1.80869565217;-9.96785714286;3635.74707031;3616.6784668;3629.39086914;3611.59350586;3623.03466797;False;0;0;-25.5321302075;-24.6354177483;-25.5321302075;-26.4255215093;-24.77359375;0;0;0;0;0;0;0;0;0;0;0;0
9639240.1;-2.85217391304;-3.61739130435;1.80869565217;-10.0285714286;3634.47583008;3616.6784668;3629.39086914;3611.59350586;3621.76342773;False;0;0;-25.5321302075;-25.5321302075;-25.5321302075;-26.4255215093;-24.77359375;0;0;0;0;0;0;0;0;0;0;0;0
9639244.9;-2.71304347826;-3.68695652174;1.73913043478;-10.0107142857;3634.47583008;3615.40722656;3629.39086914;3610.32226562;3621.76342773;False;0;0;-26.4255215093;-25.5321302075;-25.5321302075;-26.4255215093;-24.77359375;0;0;0;0;0;0;0;0;0;0;0;0
9639249.7;-2.71304347826;-3.75652173913;1.80869565217;-10.1285714286;3634.47583008;3616.6784668;3629.39086914;3611.59350586;3621.76342773;False;0;0;-26.4255215093;-25.5321302075;-25.5321302075;-26.4255215093;-24.77359375;0;0;0;0;0;0;0;0;0;0;0;0
9639255.05;-2.78260869565;-3.68695652174;1.80869565217;-10.1285714286;3634.47583008;3616.6784668;3629.39086914;3610.32226562;3621.76342773;False;0;0;-26.4255215093;-25.5321302075;-25.5321302075;-26.4255215093;-24.77359375;0;0;0;0;0;0;0;0;0;0;0;0
9639259.85;-2.78260869565;-3.75652173913;1.80869565217;-10.1785714286;3634.47583008;3616.6784668;3629.39086914;3611.59350586;3621.76342773;False;0;0;-26.4255215093;-25.5321302075;-25.5321302075;-27.3156100707;-24.77359375;0;0;0;0;0;0;0;0;0;0;0;0
9639264.65;-2.78260869565;-3.75652173913;1.80869565217;-10.2071428571;3634.47583008;3616.6784668;3629.39086914;3611.59350586;3623.03466797;False;0;0;-26.4255215093;-25.5321302075;-25.5321302075;-27.3156100707;-24.965;0;0;0;0;0;0;0;0;0;0;0;0
9639270.6;-2.78260869565;-3.68695652174;1.80869565217;-10.2392857143;3634.47583008;3616.6784668;3629.39086914;3611.59350586;3621.76342773;False;0;0;-26.4255215093;-25.5321302075;-25.5321302075;-27.3156100707;-24.965;0;0;0;0;0;0;0;0;0;0;0;0
9639275.4;-2.71304347826;-3.61739130435;1.80869565217;-10.2285714286;3634.47583008;3616.6784668;3629.39086914;3611.59350586;3623.03466797;False;0;0;-26.4255215093;-25.5321302075;-26.4255215093;-27.3156100707;-24.965;0;0;0;0;0;0;0;0;0;0;0;0
9639280.2;-2.71304347826;-3.89565217391;1.80869565217;-10.4964285714;3634.47583008;3616.6784668;3630.66210938;3611.59350586;3623.03466797;False;0;0;-26.4255215093;-25.5321302075;-26.4255215093;-27.3156100707;-25.15640625;0;0;0;0;0;0;0;0;0;0;0;0
9639285.6;-2.71304347826;-3.75652173913;1.73913043478;-10.425;3635.74707031;3616.6784668;3630.66210938;3611.59350586;3623.03466797;False;0;0;-26.4255215093;-25.5321302075;-26.4255215093;-27.3156100707;-25.15640625;0;0;0;0;0;0;0;0;0;0;0;0
9639290.4;-2.71304347826;-3.75652173913;1.73913043478;-10.4392857143;3635.74707031;3616.6784668;3630.66210938;3611.59350586;3623.03466797;False;0;0;-26.4255215093;-26.4255215093;-26.4255215093;-27.3156100707;-25.3478125;0;0;0;0;0;0;0;0;0;0;0;0
