191 days, 12:13:57.400000;33;8956734;13859901;13806963;13880129;2032;2665;
191 days, 12:14:22.100000;33;8971031;13859871;13806922;13879880;2033;2661;
191 days, 12:14:40.950000;33;8777396;13859672;13806798;13879936;2034;2657;
191 days, 12:14:59.800000;33;7967685;13859467;13806567;13879703;2036;2655;
191 days, 12:15:18.650000;33;8914316;13859361;13806549;13879392;2036;2652;
191 days, 12:15:37.600000;33;8966080;13859237;13806353;13879354;2037;2650;
191 days, 12:15:56.500000;33;7691740;13859067;13806276;13879021;2038;2647;
191 days, 12:16:15.400000;33;8952530;13858977;13806089;13879022;2039;2643;
191 days, 12:16:34.300000;33;8880623;13858783;13805949;13878894;2040;2639;
191 days, 12:16:53.150000;33;8755372;13858409;13805715;13878662;2041;2637;
191 days, 12:17:12.100000;33;8609744;13858241;13805633;13878511;2042;2635;
191 days, 12:17:31;33;8753081;13858142;13805505;13878255;2043;2633;
191 days, 12:17:49.950000;33;7618925;13858093;13805372;13877968;2044;2627;
191 days, 12:18:08.900000;33;7966670;13857853;13805134;13877777;2045;2624;
191 days, 12:18:27.850000;33;8988611;13857586;13805043;13877633;2046;2622;
191 days, 12:18:46.800000;33;8943467;13857222;13805013;13877570;2047;2619;
191 days, 12:19:05.750000;33;8953663;13857121;13804849;13877445;2048;2616;
191 days, 12:19:25.100000;33;8651101;13856835;13804232;13877309;2049;2614;
191 days, 12:20:12.850000;33;8044931;13856937;13804339;13877041;2050;2611;
191 days, 12:20:31.850000;33;7578488;13856782;13804080;13876856;2051;2609;
191 days, 12:20:52.950000;33;8864673;13855662;13802997;13876560;2052;2607;
191 days, 12:21:18.950000;33;8881522;13856458;13804151;13876540;2053;2604;
191 days, 12:21:37.900000;33;8858964;13856311;13803757;13876401;2054;2602;
191 days, 12:21:56.850000;33;8779464;13856078;13803776;13876330;2054;2601;
191 days, 12:22:15.950000;33;8698839;13856072;13803588;13876084;2055;2599;
191 days, 12:22:34.950000;33;7760791;13855854;13803280;13876031;2055;2597;
191 days, 12:22:53.900000;33;8903422;13855748;13803250;13875874;2056;2596;
191 days, 12:23:12.900000;33;8769951;13855672;13803455;13875909;2056;2594;
191 days, 12:23:31.850000;33;8859219;13855587;13803187;13875841;2057;2593;
191 days, 12:23:50.850000;33;8742727;13855567;13803095;13875741;2057;2590;
191 days, 12:24:09.850000;33;8808056;13855305;13802816;13875502;2058;2589;
191 days, 12:24:28.800000;33;8393429;13855242;13802836;13875396;2058;2588;
191 days, 12:24:47.900000;33;8851196;13855191;13802660;13875176;2059;2585;
191 days, 12:25:06.900000;33;8530719;13855037;13802913;13875214;2059;2581;
191 days, 12:25:25.900000;33;7723038;13854781;13802550;13874805;2060;2579;
191 days, 12:25:44.950000;33;8242824;13854635;13802108;13874615;2061;2577;
191 days, 12:26:03.950000;33;8448233;13854519;13802136;13874601;2062;2575;
191 days, 12:26:23;33;8858895;13854453;13801908;13874340;2063;2572;
191 days, 12:26:42.050000;33;8777369;13854180;13801972;13874289;2063;2570;
191 days, 12:27:01.250000;33;8135381;13854053;13801627;13873735;2063;2568;
191 days, 12:27:20.300000;33;7925231;13853573;13801503;13873779;2065;2566;
191 days, 12:27:39.350000;33;8665655;13853833;13801400;13873773;2065;2564;
191 days, 12:27:58.400000;33;8603323;13853619;13801264;13873738;2066;2563;
191 days, 12:28:17.450000;33;8809807;13853617;13801226;13873640;2067;2561;
191 days, 12:28:36.500000;33;8802834;13853500;13801298;13873605;2067;2559;
191 days, 12:28:55.650000;33;7877783;13853370;13801194;13873465;2068;2558;
191 days, 12:29:14.750000;33;7753846;13853189;13800879;13873237;2068;2556;
191 days, 12:29:33.850000;33;7607868;13853199;13800746;13873130;2069;2554;
191 days, 12:29:52.950000;33;8807271;13853102;13800580;13872779;2069;2552;
191 days, 12:30:12.050000;33;8772956;13853032;13800641;13873014;2070;2550;
191 days, 12:30:31.150000;33;8722719;13852837;13800346;13872826;2070;2548;
191 days, 12:30:51.050000;33;8620863;13852599;13800394;13872728;2071;2546;
191 days, 12:31:10.150000;33;8775773;13852660;13800272;13872593;2071;2544;
191 days, 12:31:29.350000;33;8765805;13852498;13800194;13872501;2072;2542;
191 days, 12:31:48.400000;33;8766917;13852331;13800109;13872331;2072;2539;
191 days, 12:32:07.400000;33;8746668;13852231;13799953;13872214;2073;2537;
191 days, 12:32:26.400000;33;8727332;13852019;13799721;13872048;2073;2534;
191 days, 12:32:45.400000;33;8718029;13851878;13799427;13871951;2074;2532;
191 days, 12:33:04.400000;33;8521877;13851847;13799333;13871523;2075;2522;
191 days, 12:33:23.400000;33;8192346;13851146;13798846;13871119;2076;2524;
191 days, 12:33:42.400000;33;8036153;13851159;13798708;13870988;2077;2520;
191 days, 12:34:01.450000;33;8588698;13850904;13798598;13870916;2077;2517;
191 days, 12:34:20.450000;33;8688466;13850772;13798498;13870568;2078;2513;
191 days, 12:34:49.100000;33;8672329;13850375;13798055;13870168;2080;2509;
191 days, 12:35:08.150000;33;7813153;13850043;13797712;13869972;2081;2506;
191 days, 12:35:52.800000;33;8678127;13849807;13797576;13869700;2082;2503;
191 days, 12:36:11.800000;33;8553956;13849590;13797449;13869580;2083;2501;
191 days, 12:36:31;33;8664834;13849394;13797161;13869414;2084;2498;
191 days, 12:36:50.050000;33;8636179;13849155;13797036;13869129;2085;2496;
191 days, 12:37:09.100000;33;8622634;13849047;13796882;13868905;2085;2494;
191 days, 12:37:28.200000;33;8656406;13848829;13796640;13868800;2086;2491;
191 days, 12:37:47.300000;33;8631255;13848521;13796467;13868443;2087;2487;
191 days, 12:38:06.350000;33;8589456;13848349;13796061;13868231;2088;2484;
191 days, 12:38:25.500000;33;8601681;13848091;13795972;13867925;2089;2481;
191 days, 12:38:44.600000;33;7706733;13847792;13795703;13867650;2090;2478;
191 days, 12:39:03.700000;33;8621623;13847568;13795396;13867443;2091;2476;
191 days, 12:39:22.850000;33;8605688;13847379;13795492;13867302;2092;2474;
191 days, 12:39:42;33;8595481;13847334;13795165;13867214;2093;2472;
191 days, 12:40:01.150000;33;8559238;13847101;13795073;13867091;2093;2469;
191 days, 12:40:20.300000;33;8545710;13846982;13794836;13866885;2094;2466;
191 days, 12:40:39.500000;33;8583984;13846840;13794491;13866603;2095;2464;
191 days, 12:40:58.700000;33;8585608;13846619;13794442;13866575;2095;2462;
191 days, 12:41:18.800000;33;8574374;13846360;13794358;13866191;2096;2460;
191 days, 12:41:37.950000;33;8569612;13846169;13794155;13866026;2097;2457;
191 days, 12:41:57.150000;33;8555649;13845962;13794071;13866099;2097;2454;
191 days, 12:42:16.350000;33;8549865;13845845;13793786;13865778;2098;2451;
191 days, 12:42:35.600000;33;8542936;13845651;13793543;13865452;2099;2448;
191 days, 12:42:54.800000;33;8542680;13845451;13793370;13865315;2100;2446;
191 days, 12:43:14;33;8535823;13845187;13793136;13864992;2100;2443;
191 days, 12:43:33.250000;33;8531288;13844905;13792955;13864728;2101;2441;
191 days, 12:43:52.500000;33;8520710;13844884;13792728;13864545;2102;2438;
191 days, 12:44:11.700000;33;8517706;13844567;13792397;13864179;2103;2434;
191 days, 12:44:30.950000;33;8500510;13844238;13792181;13864011;2104;2432;
191 days, 12:44:50.100000;33;8504015;13843985;13792062;13863781;2105;2431;
191 days, 12:45:09.350000;33;8511052;13843855;13791827;13863591;2106;2430;
191 days, 12:45:28.600000;33;8505304;13843686;13791756;13863533;2107;2429;
191 days, 12:45:47.800000;33;8494933;13843633;13791698;13863357;2107;2427;
191 days, 12:46:06.950000;33;8492545;13843477;13791542;13863175;2108;2426;
191 days, 12:46:26.150000;33;8484663;13843285;13791483;13863148;2108;2424;
191 days, 12:46:45.250000;33;8477018;13843059;13791445;13862904;2109;2420;
191 days, 12:47:04.400000;33;8461140;13843010;13790950;13862591;2110;2418;
191 days, 12:47:23.550000;33;8470457;13842602;13790727;13862402;2111;2417;
191 days, 12:47:42.700000;33;8469516;13842479;13790679;13862311;2111;2416;
191 days, 12:48:01.900000;33;8466984;13842438;13790563;13862321;2111;2415;
191 days, 12:48:21;33;8465977;13842407;13790498;13862131;2112;2414;
191 days, 12:48:40.200000;33;8371851;13842368;13790402;13861922;2112;2414;
191 days, 12:48:59.300000;33;8459585;13842130;13790396;13862008;2113;2412;
191 days, 12:49:18.450000;33;7809484;13842229;13790365;13861837;2113;2411;
191 days, 12:49:37.600000;33;8445224;13842091;13790127;13861777;2114;2408;
191 days, 12:49:56.850000;33;8449845;13841859;13790017;13861493;2114;2406;
