168 days, 18:38:19.125000;33;8950683;13854909;13802157;13874967;2038;2641;
168 days, 18:38:45.925000;33;8936921;13854852;13802159;13874813;2039;2638;
168 days, 18:39:04.825000;33;8909974;13854725;13802085;13874882;2040;2635;
168 days, 18:39:23.775000;33;8759712;13854774;13802105;13874904;2040;2632;
168 days, 18:39:42.725000;33;8917949;13854671;13801939;13874554;2041;2630;
168 days, 18:40:01.625000;33;8917485;13854545;13801835;13874520;2041;2628;
168 days, 18:40:20.525000;33;8916880;13854360;13801727;13874436;2042;2625;
168 days, 18:40:39.425000;33;8922654;13854242;13801681;13874245;2042;2623;
168 days, 18:40:58.375000;33;8916106;13854157;13801622;13874223;2043;2620;
168 days, 18:41:17.325000;33;8851083;13854092;13801457;13873969;2044;2617;
168 days, 18:41:36.325000;33;7968131;13853933;13801443;13873993;2044;2614;
168 days, 18:41:55.325000;33;7806675;13853906;13801124;13873673;2045;2611;
168 days, 18:42:14.275000;33;8588075;13853646;13801041;13873511;2046;2609;
168 days, 18:42:33.225000;33;8653717;13853545;13801009;13873577;2046;2606;
168 days, 18:42:52.125000;33;8528453;13853263;13800790;13873416;2047;2603;
168 days, 18:43:11.075000;33;8854453;13853057;13800676;13873138;2048;2599;
168 days, 18:43:29.975000;33;8382884;13853053;13800437;13872846;2048;2596;
168 days, 18:44:17.625000;33;7895378;13852790;13800317;13872702;2049;2593;
168 days, 18:44:36.575000;33;7778182;13852522;13800012;13872341;2050;2590;
168 days, 18:44:56.375000;33;8566220;13852493;13799897;13872484;2051;2586;
168 days, 18:45:15.375000;33;8710250;13852276;13799571;13872196;2052;2583;
168 days, 18:45:34.325000;33;8818364;13851948;13799558;13871977;2053;2580;
168 days, 18:45:53.325000;33;8831238;13851961;13799326;13871795;2054;2577;
168 days, 18:46:12.325000;33;8785881;13851832;13799123;13871631;2055;2572;
168 days, 18:46:31.275000;33;8795674;13852572;13798347;13870758;2056;2565;
168 days, 18:46:50.275000;33;7980205;13851000;13798426;13870859;2057;2564;
168 days, 18:47:09.375000;33;8636715;13850869;13798503;13870673;2058;2562;
168 days, 18:47:28.325000;33;8687364;13850642;13798209;13870486;2059;2560;
168 days, 18:47:47.325000;33;8746976;13850553;13798228;13870391;2060;2558;
168 days, 18:48:06.325000;33;8785595;13850352;13797938;13870168;2061;2556;
168 days, 18:48:25.375000;33;8704879;13850240;13797628;13870220;2062;2554;
168 days, 18:48:44.375000;33;8635160;13850086;13797629;13869893;2063;2550;
168 days, 18:49:03.475000;33;7855841;13849861;13798496;13869640;2064;2546;
168 days, 18:49:22.525000;33;8685640;13849554;13797168;13869289;2065;2545;
168 days, 18:49:41.575000;33;8636840;13849417;13797122;13869285;2066;2544;
168 days, 18:50:00.625000;33;8618049;13849272;13796951;13869162;2067;2542;
168 days, 18:50:19.725000;33;8713484;13849076;13796781;13869034;2068;2540;
168 days, 18:50:38.775000;33;8678580;13848914;13796654;13868958;2069;2539;
168 days, 18:50:57.875000;33;8306176;13848842;13796644;13868874;2070;2538;
168 days, 18:51:16.975000;33;7787702;13848697;13796454;13868615;2071;2536;
168 days, 18:51:36.075000;33;8449152;13848563;13796312;13868366;2072;2534;
168 days, 18:51:55.075000;33;8713930;13848463;13796037;13868346;2073;2532;
168 days, 18:52:14.075000;33;8721557;13848322;13796000;13868246;2073;2530;
168 days, 18:52:33.075000;33;8718424;13848185;13795845;13868026;2074;2527;
168 days, 18:52:52.025000;33;8712683;13847964;13795706;13867757;2075;2526;
168 days, 18:53:11.025000;33;8708692;13847841;13795428;13867615;2076;2524;
168 days, 18:53:30.075000;33;8705705;13847679;13795400;13867314;2077;2523;
168 days, 18:53:49.175000;33;8680576;13847389;13795282;13867299;2078;2520;
168 days, 18:54:08.225000;33;8693315;13847289;13794941;13867105;2079;2518;
168 days, 18:54:30.325000;33;8690154;13847005;13794979;13866773;2080;2516;
168 days, 18:54:51.375000;33;8686326;13846861;13794663;13866648;2081;2513;
168 days, 18:55:10.425000;33;8677532;13846710;13794530;13866310;2082;2511;
168 days, 18:55:29.475000;33;8671752;13846396;13794289;13866093;2083;2509;
168 days, 18:55:48.575000;33;8663526;13846305;13794189;13865964;2084;2507;
168 days, 18:56:07.675000;33;8652738;13846250;13794025;13865890;2085;2505;
168 days, 18:56:26.725000;33;8192332;13846022;13793833;13865824;2085;2504;
168 days, 18:56:45.925000;33;8139281;13845802;13793686;13865418;2086;2501;
168 days, 18:57:04.975000;33;8643705;13845687;13793444;13865308;2087;2499;
168 days, 18:57:24.075000;33;8638685;13845413;13793305;13865129;2088;2496;
168 days, 18:57:43.175000;33;8635543;13845223;13793144;13864870;2089;2494;
168 days, 18:58:02.325000;33;8630661;13845037;13792925;13864571;2090;2492;
