timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;SADS temperature;Phd Xn;Phd Xp;Phd Yn;Phd Yp
2296556.65;-2.71304347826;-3.61739130435;1.73913043478;-5.41428571429;-2.23571989808;708;85;114;856
2296557.75;-2.71304347826;-3.61739130435;1.66956521739;-5.42142857143;-2.72989229582;711;85;114;847
2296558.85;-2.64347826087;-3.68695652174;1.73913043478;-5.40357142857;-2.72989229582;715;85;115;840
2296559.9;-2.64347826087;-3.54782608696;1.73913043478;-5.37857142857;-2.48292615827;719;85;115;832
2296559.9;-2.71304347826;-3.68695652174;1.73913043478;-5.42142857143;-2.48292615827;724;85;116;825
2296562.1;-2.71304347826;-3.68695652174;1.66956521739;-5.39285714286;-2.48292615827;728;85;116;817
2296563.2;-2.64347826087;-3.68695652174;1.73913043478;-5.40714285714;-2.48292615827;730;86;117;810
2296564.3;-2.64347826087;-3.61739130435;1.73913043478;-5.41071428571;-2.48292615827;733;85;118;803
2296566.05;-2.64347826087;-3.68695652174;1.66956521739;-5.42142857143;-2.48292615827;737;85;118;793
2296567.15;-2.71304347826;-3.68695652174;1.73913043478;-5.37142857143;-2.48292615827;740;86;119;787
2296568.25;-2.78260869565;-3.68695652174;1.66956521739;-5.51785714286;-2.48292615827;743;86;120;780
2296569.35;-2.71304347826;-3.61739130435;1.66956521739;-5.33214285714;-2.48292615827;744;85;120;774
2296570.45;-2.64347826087;-3.75652173913;1.73913043478;-5.31785714286;-2.48292615827;748;86;121;768
2296571.55;-2.71304347826;-3.68695652174;1.73913043478;-5.41071428571;-2.48292615827;751;86;122;762
2296573.4;-2.71304347826;-3.61739130435;1.73913043478;-5.36785714286;-2.48292615827;754;86;122;756
2296574.35;-0.973913043478;-3.54782608696;1.11304347826;-5.37142857143;-2.72989229582;757;86;86;87
2296575.45;-2.57391304348;-3.61739130435;1.73913043478;-5.39285714286;-2.48292615827;758;86;86;87
2296576.55;-2.71304347826;-3.75652173913;1.32173913043;-5.29285714286;-2.48292615827;758;86;86;87
2296577.6;-2.64347826087;-3.82608695652;1.6;-5.31071428571;-2.48292615827;758;86;86;87
2296578.7;-2.78260869565;-3.68695652174;1.66956521739;-5.31785714286;-2.48292615827;759;86;86;87
2296579.8;-2.64347826087;-3.75652173913;1.32173913043;-5.37142857143;-2.48292615827;759;86;87;87
2296581.65;-2.71304347826;-3.61739130435;1.66956521739;-5.34642857143;-2.23571989808;759;86;86;87
2296582.6;-2.64347826087;-3.68695652174;1.66956521739;-5.28214285714;-2.23571989808;759;86;86;87
2296583.7;-2.71304347826;-3.61739130435;1.53043478261;-5.33928571429;-2.23571989808;760;86;86;87
2296584.8;-2.71304347826;-3.75652173913;1.6;-5.24285714286;-1.98827316487;759;86;86;87
2296585.9;-2.64347826087;-3.75652173913;1.66956521739;-5.21428571429;-1.98827316487;754;86;86;87
2296585.9;-2.71304347826;-3.54782608696;1.6;-5.29642857143;-1.98827316487;753;87;86;87
2296588.05;-2.64347826087;-3.61739130435;1.6;-5.18928571429;-1.74058560759;757;87;86;88
2296589.15;-2.71304347826;-3.54782608696;1.53043478261;-5.38928571429;-1.74058560759;759;86;86;87
2296590.25;-2.78260869565;-3.61739130435;1.73913043478;-5.26428571429;-1.74058560759;757;87;87;87
2296590.25;-2.71304347826;-3.61739130435;1.66956521739;-5.26071428571;-1.49265687451;756;87;86;87
2296593.05;-2.78260869565;-3.54782608696;1.53043478261;-5.28571428571;-1.49265687451;756;87;87;88
2296594.15;-2.71304347826;-3.54782608696;1.80869565217;-5.29642857143;-1.24448661318;755;87;87;88
2296595.25;-2.71304347826;-3.54782608696;1.6;-5.26785714286;-1.24448661318;750;87;87;88
2296596.4;-2.71304347826;-3.61739130435;1.66956521739;-5.21785714286;-0.996074470512;747;87;87;88
2296597.5;-2.78260869565;-3.47826086957;1.66956521739;-5.11071428571;-0.996074470512;744;87;87;87
2296598.6;-2.78260869565;-3.54782608696;1.66956521739;-5.24642857143;-0.996074470512;741;87;87;88
2296600.3;-2.78260869565;-3.61739130435;1.6;-5.175;-0.747420092695;739;87;87;88
2296601.4;-2.71304347826;-3.75652173913;1.6;-5.11428571429;-0.747420092695;736;87;87;88
2296602.5;-2.78260869565;-3.68695652174;1.66956521739;-5.15714285714;-0.498523125241;733;87;87;88
2296603.6;-2.85217391304;-3.75652173913;1.6;-5.05714285714;-0.498523125241;729;87;88;88
2296604.65;-2.85217391304;-3.75652173913;1.66956521739;-5.05;-0.249383212969;725;87;87;89
2296605.75;-2.78260869565;-3.68695652174;1.6;-4.90714285714;-0.249383212969;725;87;88;88
2296607.65;-2.78260869565;-3.75652173913;1.6;-4.925;-0.249383212969;720;88;87;89
2296608.6;-2.85217391304;-3.75652173913;1.66956521739;-4.86071428571;0;720;88;88;89
2296609.7;-2.78260869565;-3.75652173913;1.6;-4.74285714286;0;719;87;88;89
2296610.75;-2.85217391304;-3.75652173913;1.66956521739;-4.925;0.325679856701;716;88;88;89
2296611.85;-2.71304347826;-3.68695652174;1.73913043478;-4.73214285714;0.325679856701;712;88;88;89
2296612.95;-2.71304347826;-3.68695652174;1.6;-4.76428571429;0.325679856701;711;88;88;89
2296614.05;-2.78260869565;-3.75652173913;1.66956521739;-4.79642857143;0.651678071033;709;88;88;89
2296615.95;-2.71304347826;-3.68695652174;1.66956521739;-4.62142857143;0.651678071033;708;88;88;89
2296616.85;-2.71304347826;-3.68695652174;1.66956521739;-4.66785714286;0.977995110024;707;88;88;89
