11:27:30 Sail experiment chunk 0
X: -4.87 	 Y: -1.74 	 Z: 4.24 */s 	 SAIL NOT OPEN 	 -4.0 *C
X: -2.37 	 Y: -2.09 	 Z: 0.42 */s 	 SAIL NOT OPEN 	 -3.7 *C
X: -1.88 	 Y: -4.73 	 Z: 0.97 */s 	 SAIL NOT OPEN 	 -3.7 *C
X: -2.92 	 Y: -5.01 	 Z: 4.03 */s 	 SAIL NOT OPEN 	 -3.7 *C
X: -5.22 	 Y: -3.27 	 Z: -0.21 */s 	 SAIL NOT OPEN 	 -3.7 *C
X: -5.57 	 Y: -3.48 	 Z: 1.88 */s 	 SAIL NOT OPEN 	 -3.7 *C
X: -3.06 	 Y: -3.13 	 Z: 3.62 */s 	 SAIL NOT OPEN 	 -3.7 *C

11:27:33 Sail experiment chunk 7
X: -4.73 	 Y: -4.45 	 Z: 0.35 */s 	 SAIL NOT OPEN 	 -3.5 *C
X: -5.01 	 Y: -4.31 	 Z: 1.18 */s 	 SAIL NOT OPEN 	 -3.5 *C
X: -3.55 	 Y: -2.85 	 Z: 2.37 */s 	 SAIL NOT OPEN 	 -3.5 *C
X: -3.13 	 Y: -2.78 	 Z: 2.02 */s 	 SAIL NOT OPEN 	 -3.5 *C
X: -2.85 	 Y: -3.34 	 Z: 0.28 */s 	 SAIL NOT OPEN 	 -3.5 *C
X: -3.34 	 Y: -4.66 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 -3.2 *C
X: -3.48 	 Y: -4.66 	 Z: 1.81 */s 	 SAIL NOT OPEN 	 -3.2 *C
X: -4.52 	 Y: -3.69 	 Z: 1.60 */s 	 SAIL NOT OPEN 	 -3.2 *C
X: -4.52 	 Y: -3.41 	 Z: 2.78 */s 	 SAIL NOT OPEN 	 -3.2 *C

11:27:34 Sail experiment chunk 8
X: -2.92 	 Y: -3.06 	 Z: 1.95 */s 	 SAIL NOT OPEN 	 -3.2 *C
X: -2.85 	 Y: -3.20 	 Z: 2.43 */s 	 SAIL NOT OPEN 	 -3.0 *C
X: -3.20 	 Y: -4.31 	 Z: 0.77 */s 	 SAIL NOT OPEN 	 -3.0 *C
X: -3.62 	 Y: -4.38 	 Z: 2.43 */s 	 SAIL NOT OPEN 	 -3.0 *C
X: -4.17 	 Y: -4.03 	 Z: 2.57 */s 	 SAIL NOT OPEN 	 -3.0 *C
X: -4.31 	 Y: -3.48 	 Z: 1.88 */s 	 SAIL NOT OPEN 	 -3.0 *C
X: -4.10 	 Y: -3.27 	 Z: 2.85 */s 	 SAIL NOT OPEN 	 -3.0 *C
X: -3.55 	 Y: -2.92 	 Z: 1.53 */s 	 SAIL NOT OPEN 	 -3.0 *C
X: -3.13 	 Y: -2.99 	 Z: 2.09 */s 	 SAIL NOT OPEN 	 -2.7 *C

11:27:34 Sail experiment chunk 9
X: 22.47 	 Y: 8.07 	 Z: 14.61 */s 	 SAIL NOT OPEN 	 -2.7 *C
X: -2.16 	 Y: 1.60 	 Z: 0.77 */s 	 SAIL NOT OPEN 	 -2.7 *C
X: -18.64 	 Y: -6.54 	 Z: -10.02 */s 	 SAIL NOT OPEN 	 -2.7 *C
X: -6.33 	 Y: -2.64 	 Z: 5.57 */s 	 SAIL NOT OPEN 	 -2.5 *C
X: 11.06 	 Y: 0.90 	 Z: 9.67 */s 	 SAIL NOT OPEN 	 -2.5 *C
X: -0.56 	 Y: -3.48 	 Z: -1.88 */s 	 SAIL NOT OPEN 	 -2.5 *C
X: -15.72 	 Y: -6.12 	 Z: -1.81 */s 	 SAIL NOT OPEN 	 -2.5 *C
X: -5.29 	 Y: -1.74 	 Z: 2.78 */s 	 SAIL NOT OPEN 	 -2.5 *C
